Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.15304096,-0.09584824,78.27948532,2.53096321,-1.48781644,101.76789634,5.03562800,16.82908000,19.18099800,5.90856000,5.49450540,-11.24960700,16.18489000,-25.54142800,-36.65423200,4.88170200,3.98696020,15.00003300,0.35250944,4.72642100,6.80314540,4.34728700,20.37576000,-35.42658000,65.30536000,-4.15950600,1.67022850,9.61207200,44.11483400,-42.98092700,35.82336800,-25.90379300,19.64638000,-30.30201000,-8.77887250
1,0.14574701,-0.06204955,78.28582237,2.51708290,-1.39447646,101.92911263,4.91916000,16.84339100,19.18181600,5.87602700,5.55356600,-11.26711100,16.18149000,-25.42615300,-36.50609600,4.76937870,4.00477200,15.00003300,0.35577118,4.80477760,6.75735570,4.36868570,20.39518000,-35.40698600,65.07744000,-4.40472800,1.67829550,9.58349200,44.28321500,-43.21684600,35.96956600,-25.95666300,19.79345000,-30.01737200,-9.13074600
2,0.13519594,-0.02414285,78.29812820,2.44893791,-1.38188087,102.08201599,4.85831930,16.87006000,18.92182000,5.85655930,5.55344530,-11.32767800,16.17288400,-25.35205700,-36.42038700,4.93877030,3.91036630,15.00003300,0.35080916,4.86770800,6.74422800,4.40279600,20.41346200,-35.35539600,64.90852000,-4.49931860,1.66428710,9.42611800,44.50365000,-43.42614400,36.05841000,-25.98044200,20.07293500,-29.80108500,-9.23008500
3,0.12658979,0.01744878,78.30869566,2.42525882,-1.41443493,102.20044035,4.87303400,16.87661400,18.79552000,5.85129600,5.58902500,-11.36129100,16.31977500,-25.28307300,-36.45799000,4.87513880,3.91960840,15.00003300,0.32629073,4.87911650,6.74990000,4.46854100,20.42953000,-35.28393600,64.76400000,-4.55755570,1.63863090,9.33325500,44.68595500,-43.57421500,36.09565000,-26.01717600,20.03050600,-29.53361000,-9.26131800
4,0.11954402,0.06135793,78.29952251,2.48383805,-1.40476244,102.25411795,4.86680940,16.78769300,18.67874500,5.85043900,5.57033300,-11.36703500,16.34364900,-25.38870600,-36.53545400,4.98981500,3.87203840,15.00003300,0.33460015,4.85149530,6.75214500,4.54173760,20.44665500,-35.16350000,64.66003000,-4.66899700,1.59887900,9.34160400,44.87451600,-43.72064000,36.12558000,-26.14143000,20.45454800,-29.04139500,-9.27381800
5,0.11268924,0.10494571,78.27199410,2.48643172,-1.30618413,102.30607766,4.77495050,16.77946700,18.63197900,5.84693900,5.43001560,-11.40279000,16.28883700,-25.40778500,-36.60505300,5.03572900,3.74404530,15.00003300,0.17214954,4.80590250,6.69744440,4.67777250,20.47564700,-35.08199300,64.58189400,-4.79282860,1.56346190,9.37255800,45.09403200,-43.83145000,35.94354000,-26.30159000,21.68020800,-28.33131800,-8.65317300
6,0.10783429,0.14758682,78.26825780,2.48207433,-1.31369015,102.40726978,4.77664500,16.78626600,18.59963000,5.84934000,5.40157560,-11.35732900,16.45353100,-25.33746700,-36.69823000,4.87225100,3.77772200,15.00003300,0.16614282,4.83164360,6.70531560,4.72898530,20.50662000,-35.05349300,64.45862000,-4.77662200,1.54230230,9.32960500,45.29588000,-43.94931000,35.93374600,-26.37838200,22.00216000,-28.09391600,-8.52067400
7,0.10352632,0.18759274,78.26701420,2.48588973,-1.28682215,102.49915572,4.74847400,16.79338600,18.61756700,5.84972800,5.40616940,-11.32319000,16.49081600,-25.37031200,-36.84177000,4.95752860,3.64158250,15.00003300,0.10833983,4.82578130,6.70625540,4.79828640,20.53921000,-35.02264800,64.35567000,-4.77202200,1.54879260,9.27489600,45.46964000,-44.05652600,35.91545500,-26.43674000,22.36175700,-27.85981600,-8.51054900
8,0.10182957,0.22467612,78.28323842,2.45984149,-1.24720347,102.57243642,4.70906200,16.83093800,18.61763600,5.84818740,5.45587500,-11.22189900,16.53583300,-25.33801000,-36.99603300,4.95225100,3.57502960,15.00003300,0.12828735,4.82263660,6.71045500,4.80996200,20.55506100,-35.05562200,64.28815000,-4.49275160,1.57708170,9.16516300,45.57311000,-44.10323000,35.98272700,-26.32844400,22.16548200,-28.06798400,-8.90598400
9,0.10296294,0.25817904,78.24032546,2.46610054,-1.22243581,102.70355830,4.66004800,16.84179300,18.62676000,5.85190800,5.26546200,-11.20476400,16.68254000,-25.33114200,-37.28925300,4.86388400,3.51839420,15.00003300,0.05136720,4.79064130,6.68537900,4.80192200,20.59454700,-35.08232000,64.28675000,-4.59505560,1.58339990,9.20460500,45.72553300,-44.18356000,35.97229800,-26.41367300,23.02455500,-27.53152500,-8.31874200
